Scanning X=630-660 across Y=740-840 for non-151515
X=656 Y=760 = FFFFFF
X=644 Y=772 = 262335
X=646 Y=772 = 262335
X=648 Y=772 = 262335
X=650 Y=772 = 262335
X=652 Y=772 = 262335
X=654 Y=772 = 262335
X=656 Y=772 = 262335
X=658 Y=772 = 262335
X=660 Y=772 = 262335
X=630 Y=774 = 262335
X=632 Y=774 = 262335
X=634 Y=774 = 262335
X=636 Y=774 = 262335
X=638 Y=774 = 262335
X=640 Y=774 = 262335
X=642 Y=774 = 262335
X=644 Y=774 = 262335
X=646 Y=774 = 262335
X=648 Y=774 = 262335
X=650 Y=774 = 262335
X=652 Y=774 = 262335
X=654 Y=774 = 262335
X=656 Y=774 = 262335
X=658 Y=774 = 262335
X=660 Y=774 = 262335
X=630 Y=776 = 262335
X=632 Y=776 = 262335
X=634 Y=776 = 262335
X=636 Y=776 = 262335
X=638 Y=776 = 262335
X=640 Y=776 = 262335
X=642 Y=776 = 262335
X=644 Y=776 = 262335
X=646 Y=776 = 262335
X=648 Y=776 = 262335
X=650 Y=776 = 262335
X=652 Y=776 = 262335
X=654 Y=776 = 262335
X=656 Y=776 = 262335
X=658 Y=776 = 262335
X=660 Y=776 = 262335
X=630 Y=778 = 262335
X=632 Y=778 = 262335
X=634 Y=778 = 262335
X=636 Y=778 = 262335
X=638 Y=778 = 262335
X=640 Y=778 = 262335
X=642 Y=778 = 262335
X=644 Y=778 = 262335
X=646 Y=778 = 262335
X=648 Y=778 = 262335
X=650 Y=778 = 262335
X=652 Y=778 = 262335
X=654 Y=778 = 262335
X=656 Y=778 = 262335
X=658 Y=778 = 262335
X=660 Y=778 = 262335
X=630 Y=780 = 262335
X=632 Y=780 = 262335
X=634 Y=780 = 262335
X=636 Y=780 = 262335
X=638 Y=780 = 262335
X=640 Y=780 = 262335
X=642 Y=780 = 262335
X=644 Y=780 = 262335
X=646 Y=780 = 262335
X=648 Y=780 = 262335
X=650 Y=780 = 262335
X=652 Y=780 = 262335
X=654 Y=780 = 262335
X=656 Y=780 = 262335
X=658 Y=780 = 262335
X=660 Y=780 = 262335
X=630 Y=782 = 262335
X=632 Y=782 = 262335
X=634 Y=782 = 262335
X=636 Y=782 = 262335
X=638 Y=782 = 262335
X=640 Y=782 = 262335
X=642 Y=782 = 262335
X=644 Y=782 = 262335
X=646 Y=782 = 262335
X=648 Y=782 = 262335
X=650 Y=782 = 262335
X=652 Y=782 = 262335
X=654 Y=782 = 262335
X=656 Y=782 = 262335
X=658 Y=782 = 262335
X=660 Y=782 = 262335
X=630 Y=784 = 262335
X=632 Y=784 = 262335
X=634 Y=784 = 262335
X=636 Y=784 = 262335
X=638 Y=784 = 262335
X=640 Y=784 = 262335
X=642 Y=784 = 262335
X=644 Y=784 = 262335
X=646 Y=784 = 262335
X=648 Y=784 = 262335
X=650 Y=784 = 262335
X=652 Y=784 = 262335
X=654 Y=784 = 262335
X=656 Y=784 = 262335
X=658 Y=784 = 262335
X=660 Y=784 = 262335
X=630 Y=786 = 262335
X=632 Y=786 = 262335
X=634 Y=786 = 262335
X=636 Y=786 = 262335
X=638 Y=786 = 262335
X=640 Y=786 = 262335
X=642 Y=786 = 262335
X=644 Y=786 = 262335
X=646 Y=786 = 262335
X=648 Y=786 = 262335
X=650 Y=786 = 262335
X=652 Y=786 = 262335
X=654 Y=786 = 262335
X=656 Y=786 = 262335
X=658 Y=786 = 262335
X=660 Y=786 = CE67CB
X=630 Y=788 = 262335
X=632 Y=788 = 262335
X=634 Y=788 = 262335
X=636 Y=788 = 262335
X=638 Y=788 = 262335
X=640 Y=788 = 262335
X=642 Y=788 = 262335
X=644 Y=788 = 262335
X=646 Y=788 = 262335
X=648 Y=788 = 262335
X=650 Y=788 = 262335
X=652 Y=788 = 262335
X=654 Y=788 = 262335
X=656 Y=788 = 262335
X=658 Y=788 = F87EDB
X=660 Y=788 = EB5790
X=630 Y=790 = 262995
X=632 Y=790 = FF6595
X=634 Y=790 = 262335
X=636 Y=790 = 262335
X=638 Y=790 = 262335
X=640 Y=790 = 262335
X=642 Y=790 = 262335
X=644 Y=790 = 262335
X=646 Y=790 = 262335
X=648 Y=790 = 262335
X=650 Y=790 = 262335
X=652 Y=790 = 262335
X=654 Y=790 = 262335
X=656 Y=790 = 262DA1
X=658 Y=790 = FF74B0
X=660 Y=790 = 262335
X=630 Y=792 = B967DB
X=632 Y=792 = 8F2335
X=634 Y=792 = 262335
X=636 Y=792 = 262335
X=638 Y=792 = 262335
X=640 Y=792 = 262335
X=642 Y=792 = 262335
X=644 Y=792 = 262335
X=646 Y=792 = 262335
X=648 Y=792 = 262335
X=650 Y=792 = 262335
X=652 Y=792 = 262335
X=654 Y=792 = 262335
X=656 Y=792 = 2643BB
X=658 Y=792 = F1536F
X=660 Y=792 = 262335
X=630 Y=794 = FF7DC1
X=632 Y=794 = 262335
X=634 Y=794 = 262335
X=636 Y=794 = 262335
X=638 Y=794 = 262335
X=640 Y=794 = 262335
X=642 Y=794 = 262335
X=644 Y=794 = 262335
X=646 Y=794 = 262335
X=648 Y=794 = 262335
X=650 Y=794 = 262335
X=652 Y=794 = 262335
X=654 Y=794 = 262335
X=656 Y=794 = 2634AA
X=658 Y=794 = FF6DA6
X=660 Y=794 = 262335
X=630 Y=796 = 262335
X=632 Y=796 = 262335
X=634 Y=796 = 262335
X=636 Y=796 = 262335
X=638 Y=796 = 262335
X=640 Y=796 = 262335
X=642 Y=796 = 262335
X=644 Y=796 = 262335
X=646 Y=796 = 262335
X=648 Y=796 = 262335
X=650 Y=796 = 262335
X=652 Y=796 = 262335
X=654 Y=796 = 262335
X=656 Y=796 = 262335
X=658 Y=796 = 262335
X=660 Y=796 = 262335
X=630 Y=798 = 262335
X=632 Y=798 = 262335
X=634 Y=798 = 262335
X=636 Y=798 = 262335
X=638 Y=798 = 262335
X=640 Y=798 = 262335
X=642 Y=798 = 262335
X=644 Y=798 = 262335
X=646 Y=798 = 262335
X=648 Y=798 = 262335
X=650 Y=798 = 262335
X=652 Y=798 = 262335
X=654 Y=798 = 262335
X=656 Y=798 = 262335
